"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 21:19:23 UTC 2024","Tue May 14 21:20:09 UTC 2024","45407","","Wallet - Staking","","","","User successfully redirected to coin stake form when click stake button on coin [MOBILE2-1481 MOBILE2-1486 MOBILE2-1495] | PROD_ISS",""
"passed","Tue May 14 21:20:59 UTC 2024","Tue May 14 21:21:30 UTC 2024","31599","","Wallet - Staking","","","","User should be able to see the rewards distribution when have a staked coin and past the reward payout period [MOBILE2-1510] | PROD_ISS",""
"broken","Tue May 14 21:24:56 UTC 2024","Tue May 14 21:25:21 UTC 2024","25621","","Wallet Home","","","","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-1088] | PROD_ISS",""
"broken","Tue May 14 21:24:01 UTC 2024","Tue May 14 21:24:30 UTC 2024","29072","","Wallet Home","","","","User should be able to see open order balance [MOBILE2-1583] | PROD_ISS",""
"passed","Tue May 14 21:04:31 UTC 2024","Tue May 14 21:05:04 UTC 2024","32893","","Deeplink Reset Password","","","","User access deeplink reset password | PROD_ISS",""
"broken","Tue May 14 21:06:25 UTC 2024","Tue May 14 21:09:25 UTC 2024","180012","","Market - Price Alert","","","","User successfully set price alert [MOBILE2-2633] | PROD_ISS",""
"broken","Tue May 14 21:13:45 UTC 2024","Tue May 14 21:14:17 UTC 2024","31711","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 49,999mio with BSS VA [MOBILE2-1707] | PROD_ISS",""
"broken","Tue May 14 21:14:17 UTC 2024","Tue May 14 21:14:43 UTC 2024","26290","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1766] | PROD_ISS",""
"broken","Tue May 14 21:16:31 UTC 2024","Tue May 14 21:16:58 UTC 2024","27402","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232] | PROD_ISS",""
"passed","Tue May 14 21:13:19 UTC 2024","Tue May 14 21:13:45 UTC 2024","26198","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765] | PROD_ISS",""
"broken","Tue May 14 21:15:11 UTC 2024","Tue May 14 21:15:38 UTC 2024","27283","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (OVO) and see the status deposit via e-wallet is waiting for payment [MOBILE2-227] | PROD_ISS",""
"passed","Tue May 14 21:20:09 UTC 2024","Tue May 14 21:20:59 UTC 2024","49911","","Wallet - Staking","","","","User shoud be able see total stake at coin detail page [MOBILE2-1509 MOBILE2-1497 MOBILE2-1504 MOBILE2-1505] | PROD_ISS",""
"broken","Tue May 14 21:24:30 UTC 2024","Tue May 14 21:24:56 UTC 2024","25991","","Wallet Home","","","","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087] | PROD_ISS",""
"broken","Tue May 14 21:14:43 UTC 2024","Tue May 14 21:15:11 UTC 2024","27206","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767] | PROD_ISS",""
"broken","Tue May 14 21:25:21 UTC 2024","Tue May 14 21:25:47 UTC 2024","25967","","Wallet Home","","","","User successfully redirected to idr transaction history page when click history icon [MOBILE2-1585] | PROD_ISS",""
"passed","Tue May 14 21:11:13 UTC 2024","Tue May 14 21:13:19 UTC 2024","125813","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Transfer Bank and see the status deposit via Bank Transfer is waiting for payment [MOBILE2-1705 MOBILE2-175] | PROD_ISS",""
"broken","Tue May 14 21:16:04 UTC 2024","Tue May 14 21:16:31 UTC 2024","26121","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_ISS",""
"passed","Tue May 14 21:17:56 UTC 2024","Tue May 14 21:19:23 UTC 2024","87945","","Wallet - Staking","","","","User should be able to see total stake [MOBILE2-1474 MOBILE2-2417 MOBILE2-2418 MOBILE2-1484 MOBILE2-2419 MOBILE2-2420] | PROD_ISS",""
"passed","Tue May 14 21:22:57 UTC 2024","Tue May 14 21:23:49 UTC 2024","51854","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-649] | PROD_ISS",""
"passed","Tue May 14 21:23:49 UTC 2024","Tue May 14 21:24:01 UTC 2024","11269","","Wallet Home","","","","User successfully redirected to total IDR balance when click balance [MOBILE2-1075 MOBILE2-1080 MOBILE2-1579 MOBILE2-2337] | PROD_ISS",""
"broken","Tue May 14 21:15:38 UTC 2024","Tue May 14 21:16:04 UTC 2024","26478","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (DANA) [MOBILE2-228 MOBILE2-183] | PROD_ISS",""
