"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 17:00:09 UTC 2024","Wed Jun 12 17:00:44 UTC 2024","35605","","Wallet - Transaction History - General","","","","User can filter the transaction history Balance USD with transaction type Buy USD [MOBILE2-2938] | BETA-V3",""
"passed","Wed Jun 12 18:13:37 UTC 2024","Wed Jun 12 18:14:10 UTC 2024","32552","","Wallet - US Stock Wallet","","","","User should be able to see the last 10 transaction history on USS card page [MOBILE2-2579] | BETA-V3",""
"passed","Wed Jun 12 18:47:55 UTC 2024","Wed Jun 12 18:48:28 UTC 2024","33497","","Watchlist","","","","User can see watchlist asset stocks page [MOBILE2-3638] | BETA-V3",""
"broken","Wed Jun 12 15:46:17 UTC 2024","Wed Jun 12 15:47:29 UTC 2024","72722","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 49,999mio with BSS VA [MOBILE2-1707] | BETA-V3",""
"passed","Wed Jun 12 16:50:35 UTC 2024","Wed Jun 12 16:51:24 UTC 2024","48786","","Wallet - Transaction History - General","","","","User can see empty state when no transaction history balance in last 1 year [MOBILE2-3221] | BETA-V3",""
"broken","Wed Jun 12 18:43:21 UTC 2024","Wed Jun 12 18:44:23 UTC 2024","61485","","Wallet Home","","","","Users should be able to see empty state when have no assets for Crypto [MOBILE2-2534] | BETA-V3",""
"failed","Wed Jun 12 18:06:35 UTC 2024","Wed Jun 12 18:07:34 UTC 2024","58796","","Wallet - US Stock - Transaction Detail","","","","User should be able to see transaction detail of Market Buy/Sell Stock status Canceled [MOBILE2-3336] | BETA-V3",""
"broken","Wed Jun 12 16:36:55 UTC 2024","Wed Jun 12 16:37:18 UTC 2024","22735","","Wallet - IDR Wallet - Withdraw","","","","User successfully withdraw IDR Internal Transfer/E-wallet/Transfer Bank with percentage 100% from available balance [MOBILE2-2213] | BETA",""
"passed","Wed Jun 12 15:42:25 UTC 2024","Wed Jun 12 15:43:32 UTC 2024","67156","","Wallet - Crypto Wallet","","","","User should be able to see the Receive coin transaction history [MOBILE2-2561] | BETA-V3",""
"passed","Wed Jun 12 16:08:57 UTC 2024","Wed Jun 12 16:10:14 UTC 2024","76719","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR by bank transfer with under minimum amount [MOBILE2-233] | BETA-V3",""
"broken","Wed Jun 12 14:59:00 UTC 2024","Wed Jun 12 15:01:25 UTC 2024","144728","","US Stock - Discovery","","","","User successfully redirected to discover stocks page [MOBILE2-3632] | BETA-V3",""
"passed","Wed Jun 12 14:06:18 UTC 2024","Wed Jun 12 14:07:12 UTC 2024","53426","","Crypto - Market","","","","User successfully redirected to market crypto page [MOBILE2-3587] | BETA-V3",""
"passed","Wed Jun 12 17:10:29 UTC 2024","Wed Jun 12 17:11:23 UTC 2024","54328","","Wallet - Transaction History - General","","","","User can't filter the transaction history Asset US Stock with select date more than 1 year [MOBILE2-3253] | BETA-V3",""
"passed","Wed Jun 12 15:31:12 UTC 2024","Wed Jun 12 15:32:13 UTC 2024","60831","","Wallet - Crypto - Transaction Detail","","","","User should be able to see transaction detail of Giveaway [MOBILE2-3331] | BETA-V3",""
"passed","Wed Jun 12 17:48:12 UTC 2024","Wed Jun 12 17:48:50 UTC 2024","38217","","Wallet - Transaction History - US Stock","","","","User can filter the transaction history Stock with transaction type sell [MOBILE2-3134] | BETA-V3",""
"broken","Wed Jun 12 18:42:44 UTC 2024","Wed Jun 12 18:43:21 UTC 2024","37223","","Wallet Home","","","","User should be able to see IDR, USD, Crypto, US Stocks card on the Wallet Card Carousel section [MOBILE2-2542 MOBILE2-2543 MOBILE2-2544 MOBILE2-2545] | BETA-V3",""
"passed","Wed Jun 12 15:32:13 UTC 2024","Wed Jun 12 15:33:32 UTC 2024","79094","","Wallet - Crypto - Transaction Detail","","","","User should be able to see transaction detail of Send Crypto [MOBILE2-3328] | BETA-V3",""
"broken","Wed Jun 12 18:50:10 UTC 2024","Wed Jun 12 18:51:08 UTC 2024","58271","","Watchlist","","","","User can reorder by hold and drag watchlist asset stocks page [MOBILE2-3640] | BETA-V3",""
"passed","Wed Jun 12 17:37:57 UTC 2024","Wed Jun 12 17:38:32 UTC 2024","34707","","Wallet - Transaction History - IDR","","","","User can filter the transaction history IDR with transaction type withdraw [MOBILE2-3039] | BETA-V3",""
"passed","Wed Jun 12 16:17:06 UTC 2024","Wed Jun 12 16:18:07 UTC 2024","60209","","Wallet - IDR Wallet - Transaction Detail","","","","User should be able to see transaction detail of Deposit with Internal TF [MOBILE2-3311] | BETA-V3",""
"passed","Wed Jun 12 17:28:19 UTC 2024","Wed Jun 12 17:29:23 UTC 2024","64398","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Pending Order Pocket [MOBILE2-3036] | BETA-V3",""
"passed","Wed Jun 12 16:14:55 UTC 2024","Wed Jun 12 16:15:46 UTC 2024","50744","","Wallet - IDR Wallet - Transaction Detail","","","","User should be able to see transaction detail of Deposit  with Bank TF [MOBILE2-3308] | BETA-V3",""
