"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 18 19:10:24 UTC 2024","Tue Jun 18 19:10:43 UTC 2024","18871","","Login","","","","User can not sign in with email and password when registered by Google [MOBILE2-289] | PROD_NGT",""
"broken","Tue Jun 18 19:06:47 UTC 2024","Tue Jun 18 19:07:47 UTC 2024","59981","","Home","","","","User can successfully redirected to the Info & Promo webview page when click “See all” CTA and click a banner [MOBILE2-349 MOBILE2-350] | PROD_NGT",""
"broken","Tue Jun 18 19:43:03 UTC 2024","Tue Jun 18 19:44:03 UTC 2024","60014","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin internal/external with saving an address previously saved address [MOBILE2-2253] | PROD_NGT",""
"broken","Tue Jun 18 19:45:06 UTC 2024","Tue Jun 18 19:46:09 UTC 2024","63145","","Wallet - Crypto Wallet - Send Coin #2","","","","User can save address when submit send coin internal/external [MOBILE2-2239] | PROD_NGT",""
"passed","Tue Jun 18 19:08:51 UTC 2024","Tue Jun 18 19:09:09 UTC 2024","18429","","Forgot Password","","","","User should be able to see the suspend page if they submit a forgot password to an e-mail that is being suspended [MOBILE2-1652] | PROD_NGT",""
"broken","Tue Jun 18 19:14:49 UTC 2024","Tue Jun 18 19:15:44 UTC 2024","54325","","Profile - Google Authenticator","","","","User successfully deactivated and activated google authenticator [MOBILE2-1186 MOBILE2-1187] | PROD_NGT",""
"broken","Tue Jun 18 19:41:04 UTC 2024","Tue Jun 18 19:42:03 UTC 2024","58959","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant send coin when list of coins that have coin balance status disable [MOBILE2-2236] | PROD_NGT",""
"passed","Tue Jun 18 19:32:44 UTC 2024","Tue Jun 18 19:33:19 UTC 2024","34732","","Sign Up","","","","User can not sign up if it doesnt meet all validation password [MOBILE2-15] | PROD_NGT",""
"broken","Tue Jun 18 19:49:19 UTC 2024","Tue Jun 18 19:50:23 UTC 2024","64641","","Wallet - Crypto Wallet - Send Coin #2","","","","User can delete address send coin internal/external from edit address book [MOBILE2-2244] | PROD_NGT",""
"broken","Tue Jun 18 19:40:05 UTC 2024","Tue Jun 18 19:41:04 UTC 2024","58860","","Wallet - Crypto Wallet - Send Coin #2","","","","User can search by coin name at list of coins that have coin balance [MOBILE2-2220] | PROD_NGT",""
"passed","Tue Jun 18 19:57:32 UTC 2024","Tue Jun 18 19:57:53 UTC 2024","20731","","Wallet Home","","","","User unsuccessfully access wallet page before login and can not see asset summary section [MOBILE2-2533 MOBILE2-2831] | PROD_NGT",""
"broken","Tue Jun 18 19:30:26 UTC 2024","Tue Jun 18 19:31:25 UTC 2024","58858","","Profile - Setup Withdrawal Account","","","","User should not be able to add same e-wallet [MOBILE2-1168] | PROD_NGT",""
"broken","Tue Jun 18 19:38:08 UTC 2024","Tue Jun 18 19:39:06 UTC 2024","57682","","Wallet - Crypto Wallet - Send Coin #2","","","","User can see list of coins that have coin balance [MOBILE2-2219] | PROD_NGT",""
"broken","Tue Jun 18 19:57:53 UTC 2024","Tue Jun 18 19:58:50 UTC 2024","57246","","Wallet Home","","","","Unverified user can not see asset summary section [MOBILE2-2630] | PROD_NGT",""
"broken","Tue Jun 18 19:39:06 UTC 2024","Tue Jun 18 19:40:05 UTC 2024","59363","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant search by coin name, when the coin is not in the list of coins that have coin balance [MOBILE2-2221] | PROD_NGT",""
"broken","Tue Jun 18 19:51:29 UTC 2024","Tue Jun 18 19:52:35 UTC 2024","66592","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant send coin internal without input destination tag / memo id [MOBILE2-2524] | PROD_NGT",""
"broken","Tue Jun 18 19:50:23 UTC 2024","Tue Jun 18 19:51:29 UTC 2024","65026","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin internal/external when input wrong 2FA/Email code [MOBILE2-2280] | PROD_NGT",""
"passed","Tue Jun 18 19:32:24 UTC 2024","Tue Jun 18 19:32:44 UTC 2024","20081","","Sign Up","","","","User can not sign up if email invalid [MOBILE2-16] | PROD_NGT",""
"broken","Tue Jun 18 19:47:12 UTC 2024","Tue Jun 18 19:48:15 UTC 2024","62948","","Wallet - Crypto Wallet - Send Coin #2","","","","User can add new address to send coin internal/external [MOBILE2-2242] | PROD_NGT",""
"broken","Tue Jun 18 19:48:15 UTC 2024","Tue Jun 18 19:49:19 UTC 2024","64223","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin internal/external when input wrong OTP/Email code [MOBILE2-2275] | PROD_NGT",""
"passed","Tue Jun 18 19:32:13 UTC 2024","Tue Jun 18 19:32:24 UTC 2024","11630","","Sign Up","","","","User can click sign up [MOBILE2-1379] | PROD_NGT",""
"broken","Tue Jun 18 19:28:30 UTC 2024","Tue Jun 18 19:29:28 UTC 2024","57840","","Profile - Setup Withdrawal Account","","","","User should not be able to add same bank and account number [MOBILE2-1157] | PROD_NGT",""
"broken","Tue Jun 18 19:46:09 UTC 2024","Tue Jun 18 19:47:12 UTC 2024","62862","","Wallet - Crypto Wallet - Send Coin #2","","","","User can cancel delete address withdraw internal transfer from edit address book [MOBILE2-2246] | PROD_NGT",""
"broken","Tue Jun 18 19:36:13 UTC 2024","Tue Jun 18 19:37:10 UTC 2024","57469","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin when input amount coin above the maximum quantity to send [MOBILE2-2281] | PROD_NGT",""
"broken","Tue Jun 18 19:02:55 UTC 2024","Tue Jun 18 19:03:53 UTC 2024","57432","","Home","","","","User successfully redirected to staking page when click staking entrypoint on homecircle [MOBILE2-1532] | PROD_NGT",""
"broken","Tue Jun 18 19:19:53 UTC 2024","Tue Jun 18 19:20:50 UTC 2024","57765","","Profile - Phone Number","","","","User successfully add phone number use a number with another country code [MOBILE2-128] | PROD_NGT",""
"broken","Tue Jun 18 19:54:53 UTC 2024","Tue Jun 18 19:56:03 UTC 2024","70366","","Wallet - Crypto Wallet - Send Coin #2","","","","User can add new address to send coin internal/external with destination tag / memo id [MOBILE2-2525] | PROD_NGT",""
"broken","Tue Jun 18 19:00:46 UTC 2024","Tue Jun 18 19:01:20 UTC 2024","33251","","Home Non-login","","","","User can skip welcome screen [MOBILE2-1381] | PROD_NGT",""
"broken","Tue Jun 18 19:20:50 UTC 2024","Tue Jun 18 19:21:48 UTC 2024","57496","","Profile - Phone Number","","","","User successfully add phone number using old phone number [MOBILE2-130] | PROD_NGT",""
"passed","Tue Jun 18 19:08:35 UTC 2024","Tue Jun 18 19:08:51 UTC 2024","16373","","Forgot Password","","","","User successfully submit forget/reset password [MOBILE2-310] | PROD_NGT",""
"broken","Tue Jun 18 19:35:19 UTC 2024","Tue Jun 18 19:36:13 UTC 2024","53910","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin when input amount coin is under minimum [MOBILE2-2277] | PROD_NGT",""
"broken","Tue Jun 18 19:52:35 UTC 2024","Tue Jun 18 19:53:44 UTC 2024","68782","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant submit send coin internal/external when input own address [MOBILE2-2249] | PROD_NGT",""
"broken","Tue Jun 18 19:18:59 UTC 2024","Tue Jun 18 19:19:53 UTC 2024","53763","","Profile - Phone Number","","","","User succesfully add and delete a phone number [MOBILE2-129 MOBILE2-1172 MOBILE2-2353] | PROD_NGT",""
"broken","Tue Jun 18 19:03:53 UTC 2024","Tue Jun 18 19:04:51 UTC 2024","58020","","Home","","","","User successfully redirected to rekuiz page when click rekuiz entrypoint on homecircle [MOBILE2-1533] | PROD_NGT",""
"broken","Tue Jun 18 19:17:21 UTC 2024","Tue Jun 18 19:18:17 UTC 2024","56732","","Profile - My Account","","","","User successfully redirected to live chat web view page when click live chat here link [MOBILE2-1137] | PROD_NGT",""
"passed","Tue Jun 18 19:10:09 UTC 2024","Tue Jun 18 19:10:24 UTC 2024","15515","","Login","","","","User successfully redirected to sign up page when click Sign Up [MOBILE2-297] | PROD_NGT",""
