"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Wallet - Crypto - Transaction Detail","","3","0","4","0","0"
"","Wallet - Transaction History - General","","0","4","47","0","0"
"","Wallet - IDR Wallet - Withdraw","","0","17","1","0","0"
"","Wallet - Crypto Wallet","","0","3","8","0","0"
"","Profile","","0","1","6","0","0"
"","Wallet - Transaction History - US Stock","","0","2","10","0","0"
"","Wallet - IDR Wallet - Deposit","","0","19","8","0","0"
"","Crypto - Market","","0","0","5","0","0"
"","US Stock - Discovery","","2","2","2","0","0"
"","Profile - Setup Withdrawal Account","","0","0","1","0","0"
"","Wallet - Transaction History - IDR","","0","0","13","0","0"
"","Wallet - US Stock Wallet","","0","0","7","0","0"
"","Wallet Home","","0","7","2","0","0"
"","US Stock - Market","","0","0","6","0","0"
"","Wallet - IDR Wallet","","0","1","6","0","0"
"","Crypto - Trading History","","0","0","20","0","0"
"","Wallet - USD - Transaction Detail","","0","0","3","0","0"
"","Wallet - USD Wallet","","0","0","7","0","0"
"","Wallet - US Stock - Transaction Detail","","0","0","4","0","0"
"","Watchlist","","0","2","5","0","0"
"","Profile - Change Password","","0","1","1","0","0"
"","Wallet - Crypto Wallet - Send Coin #1","","0","1","5","0","0"
"","Crypto - Discovery","","0","1","5","0","0"
"","Wallet - IDR Wallet - Transaction Detail","","0","1","6","0","0"
"","Wallet - USD Wallet - Yield","","0","6","1","0","0"
"","Profile - My Account","","0","0","1","0","0"
"","Wallet - Crypto Wallet - Receive Coin","","0","2","1","0","0"
"","Wallet - Transaction History - Crypto","","0","3","12","0","0"
"","Wallet - Transaction History - USD","","0","0","10","0","0"
"","KYC - Bappebti","","0","0","3","0","0"
"","Wallet - USD Wallet - Buy/Sell","","0","0","6","0","0"
"","Sign Up","","0","0","1","0","0"
"","Login","","0","0","1","0","0"
"","Forgot Password","","0","0","1","0","0"
"","Home","","0","0","1","0","0"
