"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 03 16:39:34 UTC 2024","Fri May 03 16:40:12 UTC 2024","38675","","Wallet - USD Wallet - Buy/Sell","","","","User successfully buy USD from entry point USD page [MOBILE2-2591] | BETA-V3",""
"passed","Fri May 03 14:26:31 UTC 2024","Fri May 03 14:26:45 UTC 2024","14603","","Forgot Password","","","","User can not submit forget password when registered by Google [MOBILE2-290] | BETA",""
"passed","Fri May 03 15:58:08 UTC 2024","Fri May 03 15:58:22 UTC 2024","13333","","Wallet - Transaction History - General","","","","User can filter the transaction history Asset Crypto with transaction type Sell [MOBILE2-2950] | BETA-V3",""
"broken","Fri May 03 17:02:50 UTC 2024","Fri May 03 17:03:49 UTC 2024","58543","","Watchlist","","","","Ensure default 3 coin at watchlist when first open app [MOBILE2-3610] | BETA-V3",""
"passed","Fri May 03 16:38:16 UTC 2024","Fri May 03 16:39:34 UTC 2024","77577","","Wallet - USD Wallet - Buy/Sell","","","","User successfully buy USD from entry point wallet [MOBILE2-2590] | BETA-V3",""
"passed","Fri May 03 14:43:10 UTC 2024","Fri May 03 14:43:26 UTC 2024","16032","","US Stock - Market","","","","User cant search asset us stock when the coin isnt in the list [MOBILE2-3623] | BETA-V3",""
"passed","Fri May 03 15:27:34 UTC 2024","Fri May 03 15:27:46 UTC 2024","12308","","Wallet - IDR Wallet","","","","User should be able see last 10 transaction history on IDR Card page [MOBILE2-2557] | BETA-V3",""
"passed","Fri May 03 14:46:25 UTC 2024","Fri May 03 14:47:15 UTC 2024","49769","","Wallet - Crypto Wallet - Receive Coin","","","","User cant receive coin when doesnt have phone number but verified [MOBILE2-1627] | BETA",""
"passed","Fri May 03 15:21:45 UTC 2024","Fri May 03 15:22:24 UTC 2024","38380","","Wallet - IDR Wallet - Transaction Detail","","","","User should be able to see transaction detail of Deposit  with Bank TF [MOBILE2-3308] | BETA-V3",""
"passed","Fri May 03 14:07:04 UTC 2024","Fri May 03 14:07:19 UTC 2024","15064","","Crypto - Market","","","","User can't search asset crypto when the coin isn't in the list [MOBILE2-3588] | BETA-V3",""
"passed","Fri May 03 16:01:02 UTC 2024","Fri May 03 16:01:23 UTC 2024","21224","","Wallet - Transaction History - General","","","","User can't filter the transaction history Asset US Stock with select date more than 1 year [MOBILE2-3253] | BETA-V3",""
"passed","Fri May 03 14:58:09 UTC 2024","Fri May 03 14:58:48 UTC 2024","38962","","Wallet - Crypto - Transaction Detail","","","","User should be able to see transaction detail of Buy Crypto status Canceled [MOBILE2-3321] | BETA-V3",""
"passed","Fri May 03 16:28:04 UTC 2024","Fri May 03 16:29:23 UTC 2024","79056","","Wallet - US Stock - Transaction Detail","","","","User should be able to see transaction detail of Limit Buy/Sell Stock status Open Order [MOBILE2-3340] | BETA-V3",""
"passed","Fri May 03 15:57:54 UTC 2024","Fri May 03 15:58:08 UTC 2024","13715","","Wallet - Transaction History - General","","","","User can filter the transaction history Asset Crypto with transaction type Buy [MOBILE2-2948] | BETA-V3",""
"passed","Fri May 03 15:41:56 UTC 2024","Fri May 03 15:42:19 UTC 2024","22534","","Wallet - Transaction History - Crypto","","","","User can see empty state when no transaction on filter transaction history Crypto [MOBILE2-3107] | BETA-V3",""
"passed","Fri May 03 16:18:29 UTC 2024","Fri May 03 16:19:03 UTC 2024","34657","","Wallet - Transaction History - US Stock","","","","User can unselect filter the transaction history Stock [MOBILE2-3142 MOBILE2-3144] | BETA-V3",""
"passed","Fri May 03 14:14:22 UTC 2024","Fri May 03 14:15:00 UTC 2024","37826","","Crypto - Trading History","","","","User can filter the order history Crypto with select multiple transaction type and status [MOBILE2-2740] | BETA-V3",""
"passed","Fri May 03 14:39:39 UTC 2024","Fri May 03 14:39:45 UTC 2024","6290","","US Stock - Discovery","","","","User can see Market status [MOBILE2-3559] | BETA-V3",""
"passed","Fri May 03 15:42:19 UTC 2024","Fri May 03 15:42:41 UTC 2024","21908","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with transaction type buy [MOBILE2-3161] | BETA-V3",""
"passed","Fri May 03 16:15:00 UTC 2024","Fri May 03 16:15:23 UTC 2024","23003","","Wallet - Transaction History - US Stock","","","","User can see empty state when no transaction on filter transaction history Stock [MOBILE2-3131] | BETA-V3",""
"passed","Fri May 03 14:39:45 UTC 2024","Fri May 03 14:39:54 UTC 2024","8771","","US Stock - Discovery","","","","User can see Calendar Event [MOBILE2-3565] | BETA-V3",""
"failed","Fri May 03 16:33:11 UTC 2024","Fri May 03 16:34:15 UTC 2024","64496","","Wallet - US Stock Wallet","","","","User should be able see empty state on USS Card page when no transaction state [MOBILE2-2589] | BETA-V3",""
"passed","Fri May 03 15:34:41 UTC 2024","Fri May 03 15:37:26 UTC 2024","165304","","Wallet - IDR Wallet - Withdraw","","","","User successfully withdraw IDR Internal Transfer/E-wallet/Transfer Bank with percentage 25% from available balance [MOBILE2-2210] | BETA",""
"passed","Fri May 03 17:01:47 UTC 2024","Fri May 03 17:02:17 UTC 2024","30275","","Watchlist","","","","User can see watchlist asset crypto page [MOBILE2-3613] | BETA-V3",""
"passed","Fri May 03 15:26:39 UTC 2024","Fri May 03 15:27:34 UTC 2024","54164","","Wallet - IDR Wallet","","","","User should be able see total balance IDR owned [MOBILE2-2551] | BETA-V3",""
"passed","Fri May 03 14:06:06 UTC 2024","Fri May 03 14:06:23 UTC 2024","17004","","Crypto - Market","","","","User successfully redirected to market crypto page [MOBILE2-3463] | BETA-V3",""
"passed","Fri May 03 15:42:41 UTC 2024","Fri May 03 15:43:02 UTC 2024","21386","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with transaction type sell [MOBILE2-3110] | BETA-V3",""
"passed","Fri May 03 16:00:45 UTC 2024","Fri May 03 16:01:02 UTC 2024","16901","","Wallet - Transaction History - General","","","","User can filter the transaction history Asset US Stock with status Success [MOBILE2-2969] | BETA-V3",""
"passed","Fri May 03 16:36:47 UTC 2024","Fri May 03 16:37:13 UTC 2024","25695","","Wallet - US Stock Wallet","","","","User should be able to see the Sell coins transaction history [MOBILE2-2581] | BETA-V3",""
"passed","Fri May 03 15:50:39 UTC 2024","Fri May 03 15:51:30 UTC 2024","51172","","Wallet - Transaction History - General","","","","User can see empty state when no transaction history balance in last 1 year [MOBILE2-3221] | BETA-V3",""
"broken","Fri May 03 15:47:58 UTC 2024","Fri May 03 15:49:17 UTC 2024","78609","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with transaction type receive [MOBILE2-3122] | BETA-V3",""
"passed","Fri May 03 16:24:45 UTC 2024","Fri May 03 16:25:11 UTC 2024","26308","","Wallet - Transaction History - USD","","","","User can filter the transaction history USD with status success [MOBILE2-3082] | BETA-V3",""
"passed","Fri May 03 15:56:56 UTC 2024","Fri May 03 15:57:12 UTC 2024","15813","","Wallet - Transaction History - General","","","","User can filter the transaction history Balance USD with status success [MOBILE2-2942] | BETA-V3",""
"broken","Fri May 03 14:29:51 UTC 2024","Fri May 03 14:31:00 UTC 2024","69577","","Profile - Change Password","","","","User successfully change and create new password (using SMS OTP) [MOBILE2-1197] | BETA",""
"passed","Fri May 03 15:55:39 UTC 2024","Fri May 03 15:56:01 UTC 2024","21479","","Wallet - Transaction History - General","","","","User can't filter the transaction history Balance IDR with select date more than 1 year [MOBILE2-3250] | BETA-V3",""
"passed","Fri May 03 15:22:24 UTC 2024","Fri May 03 15:23:10 UTC 2024","46356","","Wallet - IDR Wallet - Transaction Detail","","","","User should be able to see transaction detail of Deposit with Ewallet [MOBILE2-3310] | BETA-V3",""
"passed","Fri May 03 16:08:05 UTC 2024","Fri May 03 16:08:45 UTC 2024","40231","","Wallet - Transaction History - IDR","","","","User successfully redirected to IDR transaction detail page [MOBILE2-2684] | BETA-V3",""
"passed","Fri May 03 16:30:28 UTC 2024","Fri May 03 16:31:21 UTC 2024","53116","","Wallet - US Stock - Transaction Detail","","","","User should be able to see transaction detail of Market Buy/Sell Stock status Canceled [MOBILE2-3336] | BETA-V3",""
