"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Wallet Deposit IDR","","0","1","8","0","0"
"","Deeplink Reset Password","","0","0","1","0","0"
"","Wallet Home","","0","0","6","0","0"
"","Wallet - Staking","","0","0","4","0","0"
"","Market - Price Alert","","0","0","1","0","0"
