"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 27 21:04:23 UTC 2024","Mon May 27 21:04:52 UTC 2024","29623","","Deeplink Reset Password","","","","User access deeplink reset password | PROD_ISS",""
"passed","Mon May 27 21:15:01 UTC 2024","Mon May 27 21:15:21 UTC 2024","19876","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232] | PROD_ISS",""
"passed","Mon May 27 21:14:00 UTC 2024","Mon May 27 21:14:20 UTC 2024","20098","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (OVO) and see the status deposit via e-wallet is waiting for payment [MOBILE2-227] | PROD_ISS",""
"passed","Mon May 27 21:14:20 UTC 2024","Mon May 27 21:14:40 UTC 2024","20098","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (DANA) [MOBILE2-228 MOBILE2-183] | PROD_ISS",""
"broken","Mon May 27 21:05:52 UTC 2024","Mon May 27 21:08:52 UTC 2024","180011","","Market - Price Alert","","","","User successfully set price alert [MOBILE2-2633] | PROD_ISS",""
"passed","Mon May 27 21:21:09 UTC 2024","Mon May 27 21:21:16 UTC 2024","6475","","Wallet Home","","","","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087] | PROD_ISS",""
"passed","Mon May 27 21:17:43 UTC 2024","Mon May 27 21:18:15 UTC 2024","31991","","Wallet - Staking","","","","User shoud be able see total stake at coin detail page [MOBILE2-1509 MOBILE2-1497 MOBILE2-1504 MOBILE2-1505] | PROD_ISS",""
"broken","Mon May 27 21:10:03 UTC 2024","Mon May 27 21:10:40 UTC 2024","37623","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Transfer Bank and see the status deposit via Bank Transfer is waiting for payment [MOBILE2-1705 MOBILE2-175] | PROD_ISS",""
"passed","Mon May 27 21:11:41 UTC 2024","Mon May 27 21:12:50 UTC 2024","68816","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 49,999mio with BSS VA [MOBILE2-1707] | PROD_ISS",""
"passed","Mon May 27 21:18:15 UTC 2024","Mon May 27 21:18:35 UTC 2024","19691","","Wallet - Staking","","","","User should be able to see the rewards distribution when have a staked coin and past the reward payout period [MOBILE2-1510] | PROD_ISS",""
"passed","Mon May 27 21:20:10 UTC 2024","Mon May 27 21:20:19 UTC 2024","9033","","Wallet Home","","","","User successfully redirected to total IDR balance when click balance [MOBILE2-1075 MOBILE2-1080 MOBILE2-1579 MOBILE2-2337] | PROD_ISS",""
"broken","Mon May 27 21:16:18 UTC 2024","Mon May 27 21:17:20 UTC 2024","61539","","Wallet - Staking","","","","User should be able to see total stake [MOBILE2-1474 MOBILE2-2417 MOBILE2-2418 MOBILE2-1484 MOBILE2-2419 MOBILE2-2420] | PROD_ISS",""
"passed","Mon May 27 21:19:25 UTC 2024","Mon May 27 21:20:10 UTC 2024","45086","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-649] | PROD_ISS",""
"passed","Mon May 27 21:13:42 UTC 2024","Mon May 27 21:14:00 UTC 2024","18009","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767] | PROD_ISS",""
"passed","Mon May 27 21:12:50 UTC 2024","Mon May 27 21:13:42 UTC 2024","52244","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1766] | PROD_ISS",""
"passed","Mon May 27 21:20:19 UTC 2024","Mon May 27 21:21:09 UTC 2024","50098","","Wallet Home","","","","User should be able to see open order balance [MOBILE2-1583] | PROD_ISS",""
"passed","Mon May 27 21:21:23 UTC 2024","Mon May 27 21:21:33 UTC 2024","9604","","Wallet Home","","","","User successfully redirected to idr transaction history page when click history icon [MOBILE2-1585] | PROD_ISS",""
"passed","Mon May 27 21:14:40 UTC 2024","Mon May 27 21:15:01 UTC 2024","20616","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_ISS",""
"passed","Mon May 27 21:17:20 UTC 2024","Mon May 27 21:17:43 UTC 2024","23413","","Wallet - Staking","","","","User successfully redirected to coin stake form when click stake button on coin [MOBILE2-1481 MOBILE2-1486 MOBILE2-1495] | PROD_ISS",""
"passed","Mon May 27 21:10:40 UTC 2024","Mon May 27 21:11:41 UTC 2024","60588","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765] | PROD_ISS",""
"passed","Mon May 27 21:21:16 UTC 2024","Mon May 27 21:21:23 UTC 2024","7266","","Wallet Home","","","","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-1088] | PROD_ISS",""
