"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 18:42:14 UTC 2024","Wed Jun 19 18:42:49 UTC 2024","34299","","Wallet - USD Wallet","","","","User successfully redirected to Sell page when click Sell [MOBILE2-2573] | BETA-V3",""
"passed","Wed Jun 19 17:54:44 UTC 2024","Wed Jun 19 17:55:25 UTC 2024","40608","","Wallet - Transaction History - IDR","","","","User can filter the transaction history IDR with status failed [MOBILE2-3043] | BETA-V3",""
"broken","Wed Jun 19 17:42:22 UTC 2024","Wed Jun 19 17:43:48 UTC 2024","86144","","Wallet - Transaction History - General","","","","User can filter the transaction history Asset Crypto with transaction type Receive [MOBILE2-2952] | BETA-V3",""
"passed","Wed Jun 19 16:19:55 UTC 2024","Wed Jun 19 16:20:56 UTC 2024","61667","","Wallet - IDR Wallet - Transaction Detail","","","","User should be able to see transaction detail of Giveaway [MOBILE2-3304] | BETA-V3",""
"passed","Wed Jun 19 17:56:06 UTC 2024","Wed Jun 19 17:56:53 UTC 2024","47448","","Wallet - Transaction History - IDR","","","","User can filter the transaction history IDR with select multiple transaction type and status [MOBILE2-2690] | BETA-V3",""
"broken","Wed Jun 19 18:07:36 UTC 2024","Wed Jun 19 18:08:40 UTC 2024","63997","","Wallet - Transaction History - US Stock","","","","User can filter the transaction history  Stock with status failed [MOBILE2-3137] | BETA-V3",""
"passed","Wed Jun 19 17:50:56 UTC 2024","Wed Jun 19 17:51:29 UTC 2024","33122","","Wallet - Transaction History - IDR","","","","User can filter the transaction history IDR with transaction type deposit [MOBILE2-3038] | BETA-V3",""
"broken","Wed Jun 19 16:41:21 UTC 2024","Wed Jun 19 16:41:43 UTC 2024","22582","","Wallet - IDR Wallet - Withdraw","","","","User successfully withdraw IDR using transfer bank (default toggle receive amount: active and 2FA active) [MOBILE2-2184 MOBILE2-2207] | BETA",""
"broken","Wed Jun 19 16:37:42 UTC 2024","Wed Jun 19 16:38:16 UTC 2024","34080","","Wallet - IDR Wallet - Withdraw","","","","User cant submit withdraw internal transfer when input own address [MOBILE2-2196] | BETA-V3",""
"passed","Wed Jun 19 18:48:29 UTC 2024","Wed Jun 19 18:49:36 UTC 2024","67456","","Wallet - USD Wallet - Yield","","","","User should be able to see entrypoint inactive USD Yield on USD Card page [MOBILE2-3343] | BETA-V3",""
