"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 11 19:20:43 UTC 2024","Tue Jun 11 19:21:41 UTC 2024","58065","","Profile - Setup Withdrawal Account","","","","User should not be able to add same bank and account number [MOBILE2-1157] | PROD_NGT",""
"broken","Tue Jun 11 19:27:33 UTC 2024","Tue Jun 11 19:28:27 UTC 2024","54021","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin when input amount coin is under minimum [MOBILE2-2277] | PROD_NGT",""
"passed","Tue Jun 11 19:24:35 UTC 2024","Tue Jun 11 19:24:54 UTC 2024","19080","","Sign Up","","","","User can not sign up if email invalid [MOBILE2-16] | PROD_NGT",""
"passed","Tue Jun 11 19:00:56 UTC 2024","Tue Jun 11 19:01:15 UTC 2024","18641","","Forgot Password","","","","User should be able to see the suspend page if they submit a forgot password to an e-mail that is being suspended [MOBILE2-1652] | PROD_NGT",""
"broken","Tue Jun 11 19:38:29 UTC 2024","Tue Jun 11 19:39:31 UTC 2024","62654","","Wallet - Crypto Wallet - Send Coin #2","","","","User can cancel delete address withdraw internal transfer from edit address book [MOBILE2-2246] | PROD_NGT",""
"broken","Tue Jun 11 19:32:21 UTC 2024","Tue Jun 11 19:33:21 UTC 2024","60326","","Wallet - Crypto Wallet - Send Coin #2","","","","User can search by coin name at list of coins that have coin balance [MOBILE2-2220] | PROD_NGT",""
"passed","Tue Jun 11 19:02:13 UTC 2024","Tue Jun 11 19:02:29 UTC 2024","15468","","Login","","","","User successfully redirected to sign up page when click Sign Up [MOBILE2-297] | PROD_NGT",""
"broken","Tue Jun 11 18:52:56 UTC 2024","Tue Jun 11 18:53:30 UTC 2024","34332","","Home Non-login","","","","User can skip welcome screen [MOBILE2-1381] | PROD_NGT",""
"broken","Tue Jun 11 19:04:22 UTC 2024","Tue Jun 11 19:05:19 UTC 2024","57385","","Profile - Change Password","","","","User cant change password if old password wrong [MOBILE2-1207] | PROD_NGT",""
"passed","Tue Jun 11 19:24:54 UTC 2024","Tue Jun 11 19:25:29 UTC 2024","34957","","Sign Up","","","","User can not sign up if it doesnt meet all validation password [MOBILE2-15] | PROD_NGT",""
"broken","Tue Jun 11 19:14:07 UTC 2024","Tue Jun 11 19:15:06 UTC 2024","58337","","Profile - Phone Number","","","","User unsuccesfully add a phone number if phone number has been registered [MOBILE2-1751] | PROD_NGT",""
"passed","Tue Jun 11 19:00:39 UTC 2024","Tue Jun 11 19:00:56 UTC 2024","17067","","Forgot Password","","","","User successfully submit forget/reset password [MOBILE2-310] | PROD_NGT",""
"broken","Tue Jun 11 19:26:39 UTC 2024","Tue Jun 11 19:27:33 UTC 2024","53995","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant send coin when have phone number but unverified [MOBILE2-2226] | PROD_NGT",""
"passed","Tue Jun 11 19:50:17 UTC 2024","Tue Jun 11 19:50:37 UTC 2024","20277","","Wallet Home","","","","User unsuccessfully access wallet page before login and can not see asset summary section [MOBILE2-2533 MOBILE2-2831] | PROD_NGT",""
