"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 04 21:12:38 UTC 2024","Tue Jun 04 21:12:44 UTC 2024","5895","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 49,999mio with BSS VA [MOBILE2-1707] | PROD_ISS",""
"broken","Tue Jun 04 21:19:14 UTC 2024","Tue Jun 04 21:19:23 UTC 2024","9295","","Wallet - Staking","","","","User should be able to see the rewards distribution when have a staked coin and past the reward payout period [MOBILE2-1510] | PROD_ISS",""
"broken","Tue Jun 04 21:13:19 UTC 2024","Tue Jun 04 21:13:28 UTC 2024","8603","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_ISS",""
"broken","Tue Jun 04 21:14:33 UTC 2024","Tue Jun 04 21:17:33 UTC 2024","180013","","Wallet - Staking","","","","User should be able to see total stake [MOBILE2-1474 MOBILE2-2417 MOBILE2-2418 MOBILE2-1484 MOBILE2-2419 MOBILE2-2420] | PROD_ISS",""
"passed","Tue Jun 04 21:20:19 UTC 2024","Tue Jun 04 21:21:06 UTC 2024","47017","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-649] | PROD_ISS",""
"passed","Tue Jun 04 21:22:18 UTC 2024","Tue Jun 04 21:22:28 UTC 2024","9933","","Wallet Home","","","","User successfully redirected to idr transaction history page when click history icon [MOBILE2-1585] | PROD_ISS",""
"passed","Tue Jun 04 21:21:06 UTC 2024","Tue Jun 04 21:21:16 UTC 2024","9670","","Wallet Home","","","","User successfully redirected to total IDR balance when click balance [MOBILE2-1075 MOBILE2-1080 MOBILE2-1579 MOBILE2-2337] | PROD_ISS",""
"broken","Tue Jun 04 21:17:33 UTC 2024","Tue Jun 04 21:19:09 UTC 2024","95495","","Wallet - Staking","","","","User successfully redirected to coin stake form when click stake button on coin [MOBILE2-1481 MOBILE2-1486 MOBILE2-1495] | PROD_ISS",""
"broken","Tue Jun 04 21:13:11 UTC 2024","Tue Jun 04 21:13:19 UTC 2024","8603","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (DANA) [MOBILE2-228 MOBILE2-183] | PROD_ISS",""
"broken","Tue Jun 04 21:12:44 UTC 2024","Tue Jun 04 21:12:53 UTC 2024","8721","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1766] | PROD_ISS",""
"broken","Tue Jun 04 21:19:09 UTC 2024","Tue Jun 04 21:19:14 UTC 2024","5066","","Wallet - Staking","","","","User shoud be able see total stake at coin detail page [MOBILE2-1509 MOBILE2-1497 MOBILE2-1504 MOBILE2-1505] | PROD_ISS",""
"broken","Tue Jun 04 21:05:50 UTC 2024","Tue Jun 04 21:06:52 UTC 2024","61944","","Market - Price Alert","","","","User successfully set price alert [MOBILE2-2633] | PROD_ISS",""
"broken","Tue Jun 04 21:11:02 UTC 2024","Tue Jun 04 21:12:38 UTC 2024","96108","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765] | PROD_ISS",""
"broken","Tue Jun 04 21:13:02 UTC 2024","Tue Jun 04 21:13:11 UTC 2024","8549","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (OVO) and see the status deposit via e-wallet is waiting for payment [MOBILE2-227] | PROD_ISS",""
"broken","Tue Jun 04 21:12:53 UTC 2024","Tue Jun 04 21:13:02 UTC 2024","9281","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767] | PROD_ISS",""
"passed","Tue Jun 04 21:22:05 UTC 2024","Tue Jun 04 21:22:11 UTC 2024","6165","","Wallet Home","","","","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087] | PROD_ISS",""
"broken","Tue Jun 04 21:13:28 UTC 2024","Tue Jun 04 21:13:37 UTC 2024","8417","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232] | PROD_ISS",""
"passed","Tue Jun 04 21:21:16 UTC 2024","Tue Jun 04 21:22:05 UTC 2024","48968","","Wallet Home","","","","User should be able to see open order balance [MOBILE2-1583] | PROD_ISS",""
"broken","Tue Jun 04 21:08:02 UTC 2024","Tue Jun 04 21:11:02 UTC 2024","180010","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Transfer Bank and see the status deposit via Bank Transfer is waiting for payment [MOBILE2-1705 MOBILE2-175] | PROD_ISS",""
"passed","Tue Jun 04 21:04:19 UTC 2024","Tue Jun 04 21:04:47 UTC 2024","28085","","Deeplink Reset Password","","","","User access deeplink reset password | PROD_ISS",""
"passed","Tue Jun 04 21:22:11 UTC 2024","Tue Jun 04 21:22:18 UTC 2024","7175","","Wallet Home","","","","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-1088] | PROD_ISS",""
