"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 23 19:08:36 UTC 2024","Thu May 23 19:11:36 UTC 2024","180010","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant send coin when have phone number but unverified [MOBILE2-2226] | PROD_NGT",""
"broken","Thu May 23 19:15:18 UTC 2024","Thu May 23 19:15:25 UTC 2024","7350","","Wallet - Crypto Wallet - Send Coin #2","","","","User can delete address send coin internal/external from edit address book [MOBILE2-2244] | PROD_NGT",""
"broken","Thu May 23 19:14:30 UTC 2024","Thu May 23 19:14:37 UTC 2024","6491","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant submit send coin internal/external when input invalid address [MOBILE2-2247] | PROD_NGT",""
"passed","Thu May 23 18:46:39 UTC 2024","Thu May 23 18:46:54 UTC 2024","14690","","Home","","","","User successfully redirected to live chat web view when click live chat entrypoint on homecircle [MOBILE2-1535] | PROD_NGT",""
"passed","Thu May 23 18:58:26 UTC 2024","Thu May 23 18:58:53 UTC 2024","27585","","Profile - Phone Number","","","","User unsuccesfully add a phone number if phone number has been registered [MOBILE2-1751] | PROD_NGT",""
"broken","Thu May 23 19:15:25 UTC 2024","Thu May 23 19:15:32 UTC 2024","6598","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin internal/external when input wrong 2FA/Email code [MOBILE2-2280] | PROD_NGT",""
"passed","Thu May 23 18:46:24 UTC 2024","Thu May 23 18:46:39 UTC 2024","14911","","Home","","","","User successfully redirected to referral page when click referral entrypoint on homecircle [MOBILE2-1534] | PROD_NGT",""
"broken","Thu May 23 19:14:09 UTC 2024","Thu May 23 19:14:16 UTC 2024","7848","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant search by coin name, when the coin is not in the list of coins that have coin balance [MOBILE2-2221] | PROD_NGT",""
"passed","Thu May 23 19:17:51 UTC 2024","Thu May 23 19:18:36 UTC 2024","45403","","Wallet Home","","","","Unverified user can not see asset summary section [MOBILE2-2630] | PROD_NGT",""
"passed","Thu May 23 19:06:39 UTC 2024","Thu May 23 19:06:58 UTC 2024","19018","","Sign Up","","","","User can not sign up if email invalid [MOBILE2-16] | PROD_NGT",""
"passed","Thu May 23 18:44:08 UTC 2024","Thu May 23 18:44:32 UTC 2024","23902","","Home Non-login","","","","User can skip welcome screen [MOBILE2-1381] | PROD_NGT",""
"passed","Thu May 23 19:05:20 UTC 2024","Thu May 23 19:05:42 UTC 2024","22437","","Profile - Setup Withdrawal Account","","","","User should not be able to add same e-wallet [MOBILE2-1168] | PROD_NGT",""
"passed","Thu May 23 18:54:37 UTC 2024","Thu May 23 18:55:18 UTC 2024","40531","","Profile - My Account","","","","User can see detail information account (Verified Account) [MOBILE2-1054] | PROD_NGT",""
"passed","Thu May 23 18:57:46 UTC 2024","Thu May 23 18:58:26 UTC 2024","39743","","Profile - Phone Number","","","","User successfully add phone number using old phone number [MOBILE2-130] | PROD_NGT",""
"broken","Thu May 23 19:03:05 UTC 2024","Thu May 23 19:04:15 UTC 2024","69717","","Profile - Setup Withdrawal Account","","","","User successfully save and delete account number [MOBILE2-1153 MOBILE2-1180] | PROD_NGT",""
"broken","Thu May 23 19:14:37 UTC 2024","Thu May 23 19:14:44 UTC 2024","7399","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin internal/external with saving an address previously saved address [MOBILE2-2253] | PROD_NGT",""
"passed","Thu May 23 18:50:48 UTC 2024","Thu May 23 18:51:46 UTC 2024","57406","","Profile - Change Password","","","","User cant change password if it doesnt meet all validation password [MOBILE2-1198] | PROD_NGT",""
"passed","Thu May 23 19:06:58 UTC 2024","Thu May 23 19:07:32 UTC 2024","34368","","Sign Up","","","","User can not sign up if it doesnt meet all validation password [MOBILE2-15] | PROD_NGT",""
"passed","Thu May 23 18:51:46 UTC 2024","Thu May 23 18:52:06 UTC 2024","19792","","Profile - Change Password","","","","User cant change password if old password wrong [MOBILE2-1207] | PROD_NGT",""
"broken","Thu May 23 19:13:55 UTC 2024","Thu May 23 19:14:02 UTC 2024","6622","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin when input amount coin above the available coin balance [MOBILE2-2282] | PROD_NGT",""
"passed","Thu May 23 18:45:51 UTC 2024","Thu May 23 18:46:07 UTC 2024","15654","","Home","","","","User successfully redirected to staking page when click staking entrypoint on homecircle [MOBILE2-1532] | PROD_NGT",""
"passed","Thu May 23 18:59:33 UTC 2024","Thu May 23 19:00:24 UTC 2024","51086","","Profile - PIN","","","","User can setup PIN for security at reku account [MOBILE2-1211] | PROD_NGT",""
"broken","Thu May 23 19:04:15 UTC 2024","Thu May 23 19:04:56 UTC 2024","41428","","Profile - Setup Withdrawal Account","","","","User should not be able to add same bank and account number [MOBILE2-1157] | PROD_NGT",""
"broken","Thu May 23 19:14:16 UTC 2024","Thu May 23 19:14:23 UTC 2024","6743","","Wallet - Crypto Wallet - Send Coin #2","","","","User can search by coin name at list of coins that have coin balance [MOBILE2-2220] | PROD_NGT",""
"passed","Thu May 23 18:55:18 UTC 2024","Thu May 23 18:55:35 UTC 2024","17312","","Profile - My Account","","","","User successfully redirected to live chat web view page when click live chat here link [MOBILE2-1137] | PROD_NGT",""
"broken","Thu May 23 19:14:51 UTC 2024","Thu May 23 19:14:58 UTC 2024","6554","","Wallet - Crypto Wallet - Send Coin #2","","","","User can save address when submit send coin internal/external [MOBILE2-2239] | PROD_NGT",""
