"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 08 19:32:52 UTC 2024","Wed May 08 19:33:59 UTC 2024","66696","","Wallet Home","","","","User successfully access wallet page from Wallet Navigation Bar [MOBILE2-2532 MOBILE2-2539 MOBILE2-2540] | PROD_NGT",""
"broken","Wed May 08 18:43:02 UTC 2024","Wed May 08 18:44:09 UTC 2024","67030","","Profile","","","","User successfully redirected to help center page when click help center menu [MOBILE2-1052] | PROD_NGT",""
"broken","Wed May 08 19:01:17 UTC 2024","Wed May 08 19:01:24 UTC 2024","6491","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin internal/external with saving an address previously saved address [MOBILE2-2253] | PROD_NGT",""
"broken","Wed May 08 19:10:31 UTC 2024","Wed May 08 19:10:54 UTC 2024","22963","","Wallet - IDR Wallet - Deposit","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_NGT",""
"broken","Wed May 08 18:58:24 UTC 2024","Wed May 08 19:00:38 UTC 2024","133586","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin when input amount coin is under minimum [MOBILE2-2277] | PROD_NGT",""
"broken","Wed May 08 18:13:16 UTC 2024","Wed May 08 18:14:23 UTC 2024","66978","","Home","","","","User successfully redirected to referral page when click referral entrypoint on homecircle [MOBILE2-1534] | PROD_NGT",""
"broken","Wed May 08 19:03:26 UTC 2024","Wed May 08 19:04:28 UTC 2024","61832","","Wallet - IDR Wallet - Deposit","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765] | PROD_NGT",""
"broken","Wed May 08 19:00:38 UTC 2024","Wed May 08 19:00:40 UTC 2024","2196","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin when input amount coin above the maximum quantity to send [MOBILE2-2281] | PROD_NGT",""
"broken","Wed May 08 18:24:26 UTC 2024","Wed May 08 18:25:32 UTC 2024","66087","","Profile - Change Password","","","","User successfully change and create new password (using 2FA) [MOBILE2-2357] | PROD_NGT",""
"broken","Wed May 08 18:29:05 UTC 2024","Wed May 08 18:30:11 UTC 2024","66242","","Profile - My Account","","","","User successfully redirected to live chat web view page when click live chat here link [MOBILE2-1137] | PROD_NGT",""
"passed","Wed May 08 18:50:53 UTC 2024","Wed May 08 18:51:27 UTC 2024","34509","","Sign Up","","","","User can not sign up if it doesnt meet all validation password [MOBILE2-15] | PROD_NGT",""
"broken","Wed May 08 18:40:47 UTC 2024","Wed May 08 18:41:55 UTC 2024","67327","","Profile","","","","User successfully redirected to security page when click security menu [MOBILE2-1050] | PROD_NGT",""
"broken","Wed May 08 19:11:40 UTC 2024","Wed May 08 19:12:09 UTC 2024","28665","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR by bank transfer with under minimum amount [MOBILE2-233] | PROD_NGT",""
