"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 10 21:11:15 UTC 2024","Fri May 10 21:11:38 UTC 2024","23421","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (OVO) and see the status deposit via e-wallet is waiting for payment [MOBILE2-227] | PROD_ISS",""
"passed","Fri May 10 21:15:08 UTC 2024","Fri May 10 21:15:38 UTC 2024","30118","","Wallet - Staking","","","","User shoud be able see total stake at coin detail page [MOBILE2-1509 MOBILE2-1497 MOBILE2-1504 MOBILE2-1505] | PROD_ISS",""
"broken","Fri May 10 21:16:48 UTC 2024","Fri May 10 21:17:49 UTC 2024","61305","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-649] | PROD_ISS",""
"broken","Fri May 10 21:17:58 UTC 2024","Fri May 10 21:18:23 UTC 2024","25754","","Wallet Home","","","","User should be able to see open order balance [MOBILE2-1583] | PROD_ISS",""
"broken","Fri May 10 21:10:52 UTC 2024","Fri May 10 21:11:15 UTC 2024","23001","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767] | PROD_ISS",""
"broken","Fri May 10 21:10:29 UTC 2024","Fri May 10 21:10:52 UTC 2024","22545","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1766] | PROD_ISS",""
"broken","Fri May 10 21:11:38 UTC 2024","Fri May 10 21:12:01 UTC 2024","22849","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (DANA) [MOBILE2-228 MOBILE2-183] | PROD_ISS",""
"broken","Fri May 10 21:10:03 UTC 2024","Fri May 10 21:10:29 UTC 2024","26348","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 49,999mio with BSS VA [MOBILE2-1707] | PROD_ISS",""
"passed","Fri May 10 21:09:46 UTC 2024","Fri May 10 21:10:03 UTC 2024","17212","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765] | PROD_ISS",""
"broken","Fri May 10 21:12:24 UTC 2024","Fri May 10 21:12:47 UTC 2024","23477","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232] | PROD_ISS",""
"broken","Fri May 10 21:19:08 UTC 2024","Fri May 10 21:19:31 UTC 2024","22610","","Wallet Home","","","","User successfully redirected to idr transaction history page when click history icon [MOBILE2-1585] | PROD_ISS",""
"passed","Fri May 10 21:05:47 UTC 2024","Fri May 10 21:06:56 UTC 2024","69252","","Market - Price Alert","","","","User successfully set price alert [MOBILE2-2633] | PROD_ISS",""
"broken","Fri May 10 21:12:01 UTC 2024","Fri May 10 21:12:24 UTC 2024","22665","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_ISS",""
"broken","Fri May 10 21:18:46 UTC 2024","Fri May 10 21:19:08 UTC 2024","22474","","Wallet Home","","","","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-1088] | PROD_ISS",""
"broken","Fri May 10 21:18:23 UTC 2024","Fri May 10 21:18:46 UTC 2024","22289","","Wallet Home","","","","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087] | PROD_ISS",""
"passed","Fri May 10 21:13:40 UTC 2024","Fri May 10 21:14:39 UTC 2024","59389","","Wallet - Staking","","","","User should be able to see total stake [MOBILE2-1474 MOBILE2-2417 MOBILE2-2418 MOBILE2-1484 MOBILE2-2419 MOBILE2-2420] | PROD_ISS",""
"passed","Fri May 10 21:08:09 UTC 2024","Fri May 10 21:09:46 UTC 2024","97357","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Transfer Bank and see the status deposit via Bank Transfer is waiting for payment [MOBILE2-1705 MOBILE2-175] | PROD_ISS",""
"passed","Fri May 10 21:15:38 UTC 2024","Fri May 10 21:15:57 UTC 2024","18942","","Wallet - Staking","","","","User should be able to see the rewards distribution when have a staked coin and past the reward payout period [MOBILE2-1510] | PROD_ISS",""
"passed","Fri May 10 21:14:39 UTC 2024","Fri May 10 21:15:08 UTC 2024","28746","","Wallet - Staking","","","","User successfully redirected to coin stake form when click stake button on coin [MOBILE2-1481 MOBILE2-1486 MOBILE2-1495] | PROD_ISS",""
"passed","Fri May 10 21:17:49 UTC 2024","Fri May 10 21:17:58 UTC 2024","8509","","Wallet Home","","","","User successfully redirected to total IDR balance when click balance [MOBILE2-1075 MOBILE2-1080 MOBILE2-1579 MOBILE2-2337] | PROD_ISS",""
"passed","Fri May 10 21:04:20 UTC 2024","Fri May 10 21:04:48 UTC 2024","27592","","Deeplink Reset Password","","","","User access deeplink reset password | PROD_ISS",""
