"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 03 15:32:48 UTC 2024","Mon Jun 03 15:33:43 UTC 2024","54143","","Wallet - Crypto Wallet","","","","User should be able to see the Sell coins transaction history [MOBILE2-2556] | BETA-V3",""
"passed","Mon Jun 03 17:10:47 UTC 2024","Mon Jun 03 17:11:46 UTC 2024","58918","","Wallet - Transaction History - General","","","","User can't filter the transaction history Pending Order US Stock with select date more than 1 year [MOBILE2-3256] | BETA-V3",""
"broken","Mon Jun 03 18:17:37 UTC 2024","Mon Jun 03 18:17:38 UTC 2024","1394","","Wallet - USD Wallet - Buy/Sell","","","","User successfully sell USD from entry point wallet [MOBILE2-2619] | BETA-V3",""
"broken","Mon Jun 03 15:06:01 UTC 2024","Mon Jun 03 15:06:48 UTC 2024","47768","","Wallet - Crypto Wallet - Receive Coin","","","","User successfully receive coins from external [MOBILE2-1622] | BETA-V3",""
"broken","Mon Jun 03 16:29:45 UTC 2024","Mon Jun 03 16:30:30 UTC 2024","44762","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw internal transfer/Bank transfer/Ewallet when input amount above available balance [MOBILE2-2205] | BETA-V3",""
"passed","Mon Jun 03 17:16:11 UTC 2024","Mon Jun 03 17:17:47 UTC 2024","95548","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Balance IDR [MOBILE2-3025] | BETA-V3",""
"passed","Mon Jun 03 15:31:47 UTC 2024","Mon Jun 03 15:32:18 UTC 2024","31262","","Wallet - Crypto Wallet","","","","User successfully redirected to Send page when click Send [MOBILE2-2575] | BETA-V3",""
"passed","Mon Jun 03 18:02:28 UTC 2024","Mon Jun 03 18:03:43 UTC 2024","75268","","Wallet - US Stock - Transaction Detail","","","","User should be able to see transaction detail of Market Buy/Sell Stock status Success [MOBILE2-3334] | BETA-V3",""
"broken","Mon Jun 03 17:29:54 UTC 2024","Mon Jun 03 17:30:56 UTC 2024","62028","","Wallet - Transaction History - General","","","","User can filter the transaction history Asset Crypto with status in process [MOBILE2-2955] | BETA-V3",""
"passed","Mon Jun 03 14:50:00 UTC 2024","Mon Jun 03 14:50:15 UTC 2024","15401","","Profile","","","","User successfully redirected to help center page when click help center menu [MOBILE2-1052] | BETA-V3",""
