"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Market - Price Alert","","0","0","1","0","0"
"","Wallet Home","","0","4","2","0","0"
"","Wallet Deposit IDR","","0","8","1","0","0"
"","Wallet - Staking","","0","0","4","0","0"
"","Deeplink Reset Password","","0","0","1","0","0"
