"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 06 18:57:13 UTC 2024","Mon May 06 18:58:19 UTC 2024","66389","","Wallet - Crypto Wallet - Receive Coin","","","","User successfully receive coins from external [MOBILE2-1622] | PROD_NGT",""
"broken","Mon May 06 18:59:03 UTC 2024","Mon May 06 19:02:03 UTC 2024","180011","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant send coin when have phone number but unverified [MOBILE2-2226] | PROD_NGT",""
"broken","Mon May 06 19:05:12 UTC 2024","Mon May 06 19:05:19 UTC 2024","6897","","Wallet - Crypto Wallet - Send Coin #2","","","","User can save address when submit send coin internal/external [MOBILE2-2239] | PROD_NGT",""
"broken","Mon May 06 19:24:30 UTC 2024","Mon May 06 19:24:37 UTC 2024","6427","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw internal transfer/Bank transfer/Ewallet when input amount above available balance [MOBILE2-2205] | PROD_NGT",""
"broken","Mon May 06 18:53:04 UTC 2024","Mon May 06 18:53:27 UTC 2024","22637","","Profile - Setup Withdrawal Account","","","","User should not be able to add same e-wallet [MOBILE2-1168] | PROD_NGT",""
"broken","Mon May 06 19:04:26 UTC 2024","Mon May 06 19:04:33 UTC 2024","6498","","Wallet - Crypto Wallet - Send Coin #2","","","","User can see list of coins that have coin balance [MOBILE2-2219] | PROD_NGT",""
"passed","Mon May 06 18:48:51 UTC 2024","Mon May 06 18:49:49 UTC 2024","58047","","Profile","","","","User successfully logout from application when click log out button [MOBILE2-1127 MOBILE2-1281] | PROD_NGT",""
"broken","Mon May 06 19:18:47 UTC 2024","Mon May 06 19:21:47 UTC 2024","180011","","Wallet - IDR Wallet - Withdraw","","","","User cant withdraw IDR when have phone number but unverified [MOBILE2-2092] | PROD_NGT",""
"passed","Mon May 06 18:09:13 UTC 2024","Mon May 06 18:09:37 UTC 2024","24399","","Home Non-login","","","","User can skip welcome screen [MOBILE2-1381] | PROD_NGT",""
"passed","Mon May 06 18:25:44 UTC 2024","Mon May 06 18:26:44 UTC 2024","60089","","Profile - Change Password","","","","User cant change password if it doesnt meet all validation password [MOBILE2-1198] | PROD_NGT",""
"broken","Mon May 06 19:23:49 UTC 2024","Mon May 06 19:23:51 UTC 2024","2116","","Wallet - IDR Wallet - Withdraw","","","","User cant submit withdraw internal transfer when input invalid address [MOBILE2-2195] | PROD_NGT",""
"broken","Mon May 06 19:12:49 UTC 2024","Mon May 06 19:13:12 UTC 2024","23531","","Wallet - IDR Wallet - Deposit","","","","User successfully see IDR Deposit Address and QR Code for Internal Transfer [MOBILE2-224] | PROD_NGT",""
"broken","Mon May 06 19:34:37 UTC 2024","Mon May 06 19:35:01 UTC 2024","23498","","Wallet Home","","","","User should be able to hide/unhide all numbers in the page when clicking on any eye icon [MOBILE2-2537] | PROD_NGT",""
"broken","Mon May 06 18:19:34 UTC 2024","Mon May 06 18:20:22 UTC 2024","47318","","Login","","","","User successfully sign in using 2FA [MOBILE2-283] | PROD_NGT",""
"broken","Mon May 06 19:36:58 UTC 2024","Mon May 06 19:37:20 UTC 2024","22840","","Wallet Home","","","","Users should be able to see empty state when have no assets for US Stock [MOBILE2-2548] | PROD_NGT",""
"broken","Mon May 06 19:11:38 UTC 2024","Mon May 06 19:12:01 UTC 2024","22887","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP) User successfully submit deposit with virtual account except BCA/Mandiri [MOBILE2-1774] | PROD_NGT",""
"passed","Mon May 06 18:26:44 UTC 2024","Mon May 06 18:26:52 UTC 2024","7884","","Profile - Change Password","","","","User cant change password if old password wrong [MOBILE2-1207] | PROD_NGT",""
"broken","Mon May 06 19:04:33 UTC 2024","Mon May 06 19:04:40 UTC 2024","6909","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant search by coin name, when the coin is not in the list of coins that have coin balance [MOBILE2-2221] | PROD_NGT",""
"broken","Mon May 06 19:04:20 UTC 2024","Mon May 06 19:04:26 UTC 2024","6452","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin when input amount coin above the available coin balance [MOBILE2-2282] | PROD_NGT",""
"broken","Mon May 06 18:12:55 UTC 2024","Mon May 06 18:13:51 UTC 2024","56332","","Home","","","","User successfully redirected to staking page when click staking entrypoint on homecircle [MOBILE2-1532] | PROD_NGT",""
"passed","Mon May 06 18:50:30 UTC 2024","Mon May 06 18:51:10 UTC 2024","39215","","Profile - Setup Withdrawal Account","","","","User cant set wd account when havent add phone number and unverified [MOBILE2-2115] | PROD_NGT",""
"passed","Mon May 06 19:32:11 UTC 2024","Mon May 06 19:33:02 UTC 2024","51374","","Wallet Home","","","","Unverified user can not see asset summary section [MOBILE2-2630] | PROD_NGT",""
"broken","Mon May 06 19:13:12 UTC 2024","Mon May 06 19:13:35 UTC 2024","22972","","Wallet - IDR Wallet - Deposit","","","","User successfully deposit IDR by E-Wallet (OVO) and see the status deposit via e-wallet is waiting for payment [MOBILE2-227] | PROD_NGT",""
"broken","Mon May 06 18:23:22 UTC 2024","Mon May 06 18:24:58 UTC 2024","96013","","Login","","","","User successfully redirected to sign up page when click Sign Up [MOBILE2-297] | PROD_NGT",""
"broken","Mon May 06 18:45:29 UTC 2024","Mon May 06 18:46:36 UTC 2024","67337","","Profile","","","","User successfully redirected to live chat web view page when click live chat menu [MOBILE2-1051] | PROD_NGT",""
"broken","Mon May 06 19:29:53 UTC 2024","Mon May 06 19:30:17 UTC 2024","23810","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Pending Order US Stock [MOBILE2-3035] | PROD_NGT",""
"broken","Mon May 06 19:37:20 UTC 2024","Mon May 06 19:37:44 UTC 2024","23799","","Wallet Home","","","","User should be able to see Owned asset for Crypto when click Crypto tab [MOBILE2-2547] | PROD_NGT",""
"broken","Mon May 06 19:26:20 UTC 2024","Mon May 06 19:26:43 UTC 2024","23531","","Wallet - Transaction History - General","","","","User can see total filter notification in the icon filter and reset filter transaction history tab Balance [MOBILE2-3023 MOBILE2-2767] | PROD_NGT",""
"passed","Mon May 06 18:18:32 UTC 2024","Mon May 06 18:18:50 UTC 2024","18408","","Forgot Password","","","","User should be able to see the suspend page if they submit a forgot password to an e-mail that is being suspended [MOBILE2-1652] | PROD_NGT",""
"broken","Mon May 06 19:13:58 UTC 2024","Mon May 06 19:14:21 UTC 2024","23056","","Wallet - IDR Wallet - Deposit","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_NGT",""
