"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 28 19:21:32 UTC 2024","Tue May 28 19:22:13 UTC 2024","41188","","Profile - My Account","","","","User can see detail information account (Verified Account) [MOBILE2-1054] | PROD_NGT",""
"broken","Tue May 28 19:41:35 UTC 2024","Tue May 28 19:41:41 UTC 2024","6409","","Wallet - Crypto Wallet - Send Coin #2","","","","User can search by coin name at list of coins that have coin balance [MOBILE2-2220] | PROD_NGT",""
"passed","Tue May 28 19:18:46 UTC 2024","Tue May 28 19:19:18 UTC 2024","32169","","Profile - Change Password","","","","User successfully change and create new password (using 2FA) [MOBILE2-2357] | PROD_NGT",""
"passed","Tue May 28 19:12:06 UTC 2024","Tue May 28 19:12:20 UTC 2024","14391","","Home","","","","User successfully redirected to live chat web view when click live chat entrypoint on homecircle [MOBILE2-1535] | PROD_NGT",""
"passed","Tue May 28 19:26:35 UTC 2024","Tue May 28 19:27:27 UTC 2024","52003","","Profile - PIN","","","","User can setup PIN for security at reku account [MOBILE2-1211] | PROD_NGT",""
"broken","Tue May 28 19:42:56 UTC 2024","Tue May 28 19:43:02 UTC 2024","6810","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant submit send coin internal/external when input own address [MOBILE2-2249] | PROD_NGT",""
"passed","Tue May 28 19:11:34 UTC 2024","Tue May 28 19:11:51 UTC 2024","17596","","Home","","","","User successfully redirected to rekuiz page when click rekuiz entrypoint on homecircle [MOBILE2-1533] | PROD_NGT",""
"broken","Tue May 28 19:42:34 UTC 2024","Tue May 28 19:42:41 UTC 2024","7007","","Wallet - Crypto Wallet - Send Coin #2","","","","User can delete address send coin internal/external from edit address book [MOBILE2-2244] | PROD_NGT",""
"passed","Tue May 28 19:23:14 UTC 2024","Tue May 28 19:24:12 UTC 2024","58563","","Profile - Phone Number","","","","User succesfully add and delete a phone number [MOBILE2-129 MOBILE2-1172 MOBILE2-2353] | PROD_NGT",""
"broken","Tue May 28 19:41:15 UTC 2024","Tue May 28 19:41:21 UTC 2024","6398","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin when input amount coin above the available coin balance [MOBILE2-2282] | PROD_NGT",""
"passed","Tue May 28 19:15:23 UTC 2024","Tue May 28 19:15:42 UTC 2024","18890","","Login","","","","User can not sign in with email and password when registered by Google [MOBILE2-289] | PROD_NGT",""
"passed","Tue May 28 19:11:18 UTC 2024","Tue May 28 19:11:34 UTC 2024","15818","","Home","","","","User successfully redirected to staking page when click staking entrypoint on homecircle [MOBILE2-1532] | PROD_NGT",""
"passed","Tue May 28 19:20:04 UTC 2024","Tue May 28 19:20:52 UTC 2024","48203","","Profile - Google Authenticator","","","","User successfully deactivated and activated google authenticator [MOBILE2-1186 MOBILE2-1187] | PROD_NGT",""
"broken","Tue May 28 19:42:41 UTC 2024","Tue May 28 19:42:49 UTC 2024","7079","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin internal/external when input wrong 2FA/Email code [MOBILE2-2280] | PROD_NGT",""
"passed","Tue May 28 19:13:47 UTC 2024","Tue May 28 19:14:05 UTC 2024","18515","","Forgot Password","","","","User should be able to see the suspend page if they submit a forgot password to an e-mail that is being suspended [MOBILE2-1652] | PROD_NGT",""
"passed","Tue May 28 19:18:06 UTC 2024","Tue May 28 19:18:46 UTC 2024","39894","","Profile - Change Password","","","","User cant change password if old password wrong [MOBILE2-1207] | PROD_NGT",""
"passed","Tue May 28 19:44:51 UTC 2024","Tue May 28 19:45:12 UTC 2024","20763","","Wallet Home","","","","User unsuccessfully access wallet page before login and can not see asset summary section [MOBILE2-2533 MOBILE2-2831] | PROD_NGT",""
"broken","Tue May 28 19:42:08 UTC 2024","Tue May 28 19:42:14 UTC 2024","6626","","Wallet - Crypto Wallet - Send Coin #2","","","","User can save address when submit send coin internal/external [MOBILE2-2239] | PROD_NGT",""
"passed","Tue May 28 19:24:43 UTC 2024","Tue May 28 19:25:24 UTC 2024","40987","","Profile - Phone Number","","","","User successfully add phone number using old phone number [MOBILE2-130] | PROD_NGT",""
"passed","Tue May 28 19:16:23 UTC 2024","Tue May 28 19:18:06 UTC 2024","103111","","Profile - Change Password","","","","User cant change password if it doesnt meet all validation password [MOBILE2-1198] | PROD_NGT",""
"broken","Tue May 28 19:31:07 UTC 2024","Tue May 28 19:31:48 UTC 2024","40735","","Profile - Setup Withdrawal Account","","","","User should not be able to add same bank and account number [MOBILE2-1157] | PROD_NGT",""
"passed","Tue May 28 19:24:12 UTC 2024","Tue May 28 19:24:43 UTC 2024","31112","","Profile - Phone Number","","","","User successfully add phone number use a number with another country code [MOBILE2-128] | PROD_NGT",""
"broken","Tue May 28 19:43:02 UTC 2024","Tue May 28 19:43:09 UTC 2024","6549","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant add new address to send coin internal/external without destination tag / memo id [MOBILE2-2526] | PROD_NGT",""
"broken","Tue May 28 19:29:58 UTC 2024","Tue May 28 19:31:07 UTC 2024","68609","","Profile - Setup Withdrawal Account","","","","User successfully save and delete account number [MOBILE2-1153 MOBILE2-1180] | PROD_NGT",""
"broken","Tue May 28 19:39:00 UTC 2024","Tue May 28 19:41:11 UTC 2024","131460","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin when input amount coin is under minimum [MOBILE2-2277] | PROD_NGT",""
"broken","Tue May 28 19:41:54 UTC 2024","Tue May 28 19:42:01 UTC 2024","7121","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin internal/external with saving an address previously saved address [MOBILE2-2253] | PROD_NGT",""
"broken","Tue May 28 19:43:09 UTC 2024","Tue May 28 19:43:15 UTC 2024","6542","","Wallet - Crypto Wallet - Send Coin #2","","","","User can add new address to send coin internal/external with destination tag / memo id [MOBILE2-2525] | PROD_NGT",""
"passed","Tue May 28 19:10:41 UTC 2024","Tue May 28 19:11:18 UTC 2024","37084","","Home","","","","Users successfully redirected to market page when click ""See All"" [MOBILE2-332 MOBILE2-1529] | PROD_NGT",""
"passed","Tue May 28 19:11:51 UTC 2024","Tue May 28 19:12:06 UTC 2024","14794","","Home","","","","User successfully redirected to referral page when click referral entrypoint on homecircle [MOBILE2-1534] | PROD_NGT",""
"broken","Tue May 28 19:42:27 UTC 2024","Tue May 28 19:42:34 UTC 2024","7112","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin internal/external when input wrong OTP/Email code [MOBILE2-2275] | PROD_NGT",""
"passed","Tue May 28 19:32:11 UTC 2024","Tue May 28 19:32:34 UTC 2024","22431","","Profile - Setup Withdrawal Account","","","","User should not be able to add same e-wallet [MOBILE2-1168] | PROD_NGT",""
"passed","Tue May 28 19:12:20 UTC 2024","Tue May 28 19:12:47 UTC 2024","26342","","Home","","","","User can successfully redirected to the Info & Promo webview page when click “See all” CTA and click a banner [MOBILE2-349 MOBILE2-350] | PROD_NGT",""
"broken","Tue May 28 19:42:21 UTC 2024","Tue May 28 19:42:27 UTC 2024","6453","","Wallet - Crypto Wallet - Send Coin #2","","","","User can add new address to send coin internal/external [MOBILE2-2242] | PROD_NGT",""
"passed","Tue May 28 19:09:33 UTC 2024","Tue May 28 19:09:58 UTC 2024","24254","","Home Non-login","","","","User can skip welcome screen [MOBILE2-1381] | PROD_NGT",""
"broken","Tue May 28 19:41:28 UTC 2024","Tue May 28 19:41:35 UTC 2024","6692","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant search by coin name, when the coin is not in the list of coins that have coin balance [MOBILE2-2221] | PROD_NGT",""
"broken","Tue May 28 19:42:01 UTC 2024","Tue May 28 19:42:08 UTC 2024","6359","","Wallet - Crypto Wallet - Send Coin #2","","","","Label address auto detected when input address manual without checklist save address [MOBILE2-2252] | PROD_NGT",""
"broken","Tue May 28 19:36:00 UTC 2024","Tue May 28 19:39:00 UTC 2024","180009","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant send coin when have phone number but unverified [MOBILE2-2226] | PROD_NGT",""
"broken","Tue May 28 19:41:41 UTC 2024","Tue May 28 19:41:48 UTC 2024","6610","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant send coin when list of coins that have coin balance status disable [MOBILE2-2236] | PROD_NGT",""
"passed","Tue May 28 19:45:12 UTC 2024","Tue May 28 19:45:57 UTC 2024","45027","","Wallet Home","","","","Unverified user can not see asset summary section [MOBILE2-2630] | PROD_NGT",""
"broken","Tue May 28 19:41:11 UTC 2024","Tue May 28 19:41:15 UTC 2024","3902","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin when input amount coin above the maximum quantity to send [MOBILE2-2281] | PROD_NGT",""
"passed","Tue May 28 19:25:24 UTC 2024","Tue May 28 19:25:52 UTC 2024","27654","","Profile - Phone Number","","","","User unsuccesfully add a phone number if phone number has been registered [MOBILE2-1751] | PROD_NGT",""
"broken","Tue May 28 19:42:14 UTC 2024","Tue May 28 19:42:21 UTC 2024","6661","","Wallet - Crypto Wallet - Send Coin #2","","","","User can cancel delete address withdraw internal transfer from edit address book [MOBILE2-2246] | PROD_NGT",""
