"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 28 21:20:02 UTC 2024","Tue May 28 21:20:53 UTC 2024","50316","","Wallet Home","","","","User should be able to see open order balance [MOBILE2-1583] | PROD_ISS",""
"passed","Tue May 28 21:15:44 UTC 2024","Tue May 28 21:16:45 UTC 2024","61058","","Wallet - Staking","","","","User should be able to see total stake [MOBILE2-1474 MOBILE2-2417 MOBILE2-2418 MOBILE2-1484 MOBILE2-2419 MOBILE2-2420] | PROD_ISS",""
"broken","Tue May 28 21:13:53 UTC 2024","Tue May 28 21:14:01 UTC 2024","8523","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1766] | PROD_ISS",""
"broken","Tue May 28 21:14:18 UTC 2024","Tue May 28 21:14:27 UTC 2024","8709","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (DANA) [MOBILE2-228 MOBILE2-183] | PROD_ISS",""
"passed","Tue May 28 21:05:19 UTC 2024","Tue May 28 21:05:50 UTC 2024","31409","","Deeplink Reset Password","","","","User access deeplink reset password | PROD_ISS",""
"passed","Tue May 28 21:19:07 UTC 2024","Tue May 28 21:19:53 UTC 2024","46177","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-649] | PROD_ISS",""
"passed","Tue May 28 21:20:53 UTC 2024","Tue May 28 21:20:59 UTC 2024","6396","","Wallet Home","","","","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087] | PROD_ISS",""
"passed","Tue May 28 21:17:48 UTC 2024","Tue May 28 21:18:08 UTC 2024","19963","","Wallet - Staking","","","","User should be able to see the rewards distribution when have a staked coin and past the reward payout period [MOBILE2-1510] | PROD_ISS",""
"broken","Tue May 28 21:14:10 UTC 2024","Tue May 28 21:14:18 UTC 2024","8530","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (OVO) and see the status deposit via e-wallet is waiting for payment [MOBILE2-227] | PROD_ISS",""
"passed","Tue May 28 21:20:59 UTC 2024","Tue May 28 21:21:06 UTC 2024","6810","","Wallet Home","","","","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-1088] | PROD_ISS",""
"broken","Tue May 28 21:14:01 UTC 2024","Tue May 28 21:14:10 UTC 2024","8601","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767] | PROD_ISS",""
"broken","Tue May 28 21:14:36 UTC 2024","Tue May 28 21:14:44 UTC 2024","8467","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232] | PROD_ISS",""
"broken","Tue May 28 21:12:09 UTC 2024","Tue May 28 21:13:45 UTC 2024","96297","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765] | PROD_ISS",""
"broken","Tue May 28 21:14:27 UTC 2024","Tue May 28 21:14:36 UTC 2024","8874","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_ISS",""
"passed","Tue May 28 21:06:49 UTC 2024","Tue May 28 21:07:55 UTC 2024","66066","","Market - Price Alert","","","","User successfully set price alert [MOBILE2-2633] | PROD_ISS",""
"passed","Tue May 28 21:17:15 UTC 2024","Tue May 28 21:17:48 UTC 2024","32949","","Wallet - Staking","","","","User shoud be able see total stake at coin detail page [MOBILE2-1509 MOBILE2-1497 MOBILE2-1504 MOBILE2-1505] | PROD_ISS",""
"passed","Tue May 28 21:21:06 UTC 2024","Tue May 28 21:21:16 UTC 2024","10136","","Wallet Home","","","","User successfully redirected to idr transaction history page when click history icon [MOBILE2-1585] | PROD_ISS",""
"passed","Tue May 28 21:16:45 UTC 2024","Tue May 28 21:17:15 UTC 2024","30014","","Wallet - Staking","","","","User successfully redirected to coin stake form when click stake button on coin [MOBILE2-1481 MOBILE2-1486 MOBILE2-1495] | PROD_ISS",""
"broken","Tue May 28 21:09:09 UTC 2024","Tue May 28 21:12:09 UTC 2024","180012","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Transfer Bank and see the status deposit via Bank Transfer is waiting for payment [MOBILE2-1705 MOBILE2-175] | PROD_ISS",""
"passed","Tue May 28 21:19:53 UTC 2024","Tue May 28 21:20:02 UTC 2024","9094","","Wallet Home","","","","User successfully redirected to total IDR balance when click balance [MOBILE2-1075 MOBILE2-1080 MOBILE2-1579 MOBILE2-2337] | PROD_ISS",""
"broken","Tue May 28 21:13:45 UTC 2024","Tue May 28 21:13:53 UTC 2024","7387","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 49,999mio with BSS VA [MOBILE2-1707] | PROD_ISS",""
