"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 14:38:00 UTC 2024","Thu Jun 06 14:39:37 UTC 2024","96937","","KYC - Bappebti","","","","User successfully submit kyc verification with WNI Identity and domicile same with KTP [MOBILE2-2499 MOBILE2-2508] | BETA",""
"broken","Thu Jun 06 16:25:13 UTC 2024","Thu Jun 06 16:26:24 UTC 2024","71545","","Wallet - IDR Wallet - Withdraw","","","","User can add new address to withdraw internal transfer [MOBILE2-2192] | BETA-V3",""
"passed","Thu Jun 06 16:43:10 UTC 2024","Thu Jun 06 16:43:53 UTC 2024","43289","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with transaction type reward [MOBILE2-3121] | BETA-V3",""
"passed","Thu Jun 06 14:24:19 UTC 2024","Thu Jun 06 14:25:39 UTC 2024","80372","","Crypto - Trading History","","","","User can unselect filter the pending order history crypto [MOBILE2-3189] | BETA-V3",""
"passed","Thu Jun 06 18:07:30 UTC 2024","Thu Jun 06 18:08:32 UTC 2024","61837","","Wallet - US Stock Wallet","","","","User should be able see empty state on USS Card page when no transaction state [MOBILE2-2589] | BETA-V3",""
"passed","Thu Jun 06 17:41:46 UTC 2024","Thu Jun 06 17:42:43 UTC 2024","57592","","Wallet - Transaction History - US Stock","","","","User successfully redirected to Stock wallet transaction history [MOBILE2-3127] | BETA-V3",""
"passed","Thu Jun 06 15:12:49 UTC 2024","Thu Jun 06 15:14:25 UTC 2024","95716","","Wallet - Crypto Wallet - Send Coin #1","","","","User successfully send coin external (default toggle receive amount: active and 2FA active) [MOBILE2-2269] | BETA-V3",""
"broken","Thu Jun 06 15:40:31 UTC 2024","Thu Jun 06 15:41:21 UTC 2024","50078","","Wallet - IDR Wallet - Deposit","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765] | BETA-V3",""
"passed","Thu Jun 06 17:42:43 UTC 2024","Thu Jun 06 17:44:13 UTC 2024","89654","","Wallet - Transaction History - US Stock","","","","User successfully redirected to Stock transaction detail page [MOBILE2-3129] | BETA-V3",""
"broken","Thu Jun 06 15:51:40 UTC 2024","Thu Jun 06 15:52:39 UTC 2024","58891","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP MANDIRI) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1772] | BETA-V3",""
"passed","Thu Jun 06 18:45:33 UTC 2024","Thu Jun 06 18:46:08 UTC 2024","34519","","Watchlist","","","","User can see watchlist asset stocks page [MOBILE2-3638] | BETA-V3",""
"broken","Thu Jun 06 14:04:45 UTC 2024","Thu Jun 06 14:05:34 UTC 2024","48782","","Crypto - Discovery","","","","User can see recommend user to some coins with predefined algo [MOBILE2-3556] | BETA-V3",""
"passed","Thu Jun 06 18:05:37 UTC 2024","Thu Jun 06 18:06:45 UTC 2024","68089","","Wallet - US Stock - Transaction Detail","","","","User should be able to see transaction detail of Limit Buy/Sell Stock status Canceled [MOBILE2-3339] | BETA-V3",""
